Abigail Breslin|Abigail Kathleen Breslin|http://ego.globo.com/famosos/tudo-sobre/abigail-breslin.html|http://s2.glbimg.com/V5JV-OIYXybFnwTaai3TiFK1W8A=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2013/12/13/abigail_breslin_reuters_1.jpg|Áries|14 de Abril (19 anos)|NULL|NULL
Adam Levine|Adam Noah Levine|http://ego.globo.com/famosos/tudo-sobre/adam-levine.html|http://s2.glbimg.com/Aj0ZtzxNjfnjI3Vd4TmbppKf1mI=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2013/11/20/2013-11-20t051001z_885525069_gm1e9bk10f501_rtrmadp_3_people-adamlevine.jpg|Peixes|18 de Março (36 anos)|NULL|Vocalista da banda Maroon 5
Adam Sandler|Adam Richard Sandler|http://ego.globo.com/famosos/tudo-sobre/adam-sandler.html|http://s2.glbimg.com/MxPQEmGpVKjy3DwmWs95_Uk3LEQ=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2013/05/08/sandlerfat050813_01_x17.jpg|Virgem|09 de Setembro (48 anos)|NULL|NULL
Adele|Adele Laurie Blue Adkins|http://ego.globo.com/famosos/tudo-sobre/adele.html|http://s2.glbimg.com/736l2MSa0KA4c9U3ne7S2T1fLGA=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/12/15/adele-reuters.jpg|Touro|05 de Maio (27 anos)|NULL|Cantora britânica. Lançou dois CDs, ambos elogiados pela crítica. É responsável por hits como &quot;Chasing Pavements&quot;, &quot;Rolling in the Deep&quot; e &quot;Someone Like You&quot;. Tem dois Grammys em seu nome. Em 2011, foi nomeada &quot;Artista do Ano&quot; pela Billboard, alcançou o posto de &quot;Disco mais vendido do século no Reino Unido&quot; e ganhou mais uma dezena de prêmios. Em 2011, a cantora também passou por uma cirurgia na garganta.
Adèle Exarchopoulos|Adèle Ann Exarchopoulos|http://ego.globo.com/famosos/tudo-sobre/adele-exarchopoulos.html|http://s2.glbimg.com/fhIofyRayHZARxUMFHQ60jBwUGc=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2014/05/23/galeria-vertical.jpg|Sagitário|22 de Novembro (21 anos)|NULL|NULL
Adriana Birolli|Adriana Birolli Ferreira|http://ego.globo.com/famosos/tudo-sobre/adriana-birolli.html|http://s2.glbimg.com/wS18iGP4V575k6WFZh_wg4uwp3w=/300x170/top/smart/s.glbimg.com/jo/eg/f/304x0/2011/10/10/adriana-birolli_tvglobo.jpg|Sagitário|25 de Novembro (27 anos)|NULL|Estreou como atriz na novela &quot;Viver a Vida&quot;, da Globo. Desde então, atuou em novelas como &quot;Beleza Pura&quot;, &quot;Fina Estampa&quot; e &quot;Império&quot;, entre outras.
Adriana Bombom|Adriana Soares|http://ego.globo.com/famosos/tudo-sobre/adriana-bombom.html|http://s2.glbimg.com/FokUHUVKQbs1QX6p7zVJNq-Kgr8=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/09/06/adriana-bombom-_.jpg|Capricórnio|08 de Janeiro (41 anos)|NULL|Modelo e dançarina do extinto ‘Planeta Xuxa’. Chegou a tentar carreira de cantora, mas não foi à frente. Casou-se com o cantor Dudu Nobre, com quem tem duas filhas: Olívia e Thalita, e também uma separação conturbada. É destaque ainda por suas participações no carnaval.
Adriana Calcanhotto|Adriana da Cunha Calcanhotto|http://ego.globo.com/famosos/tudo-sobre/adriana-calcanhotto.html|http://s2.glbimg.com/OFdXSjnuctzN01qSar0WOAmrapg=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2012/05/03/mg_0507.jpg|Libra|03 de Outubro (49 anos)|NULL|NULL
Adriana Esteves|Adriana Esteves Agostinho|http://ego.globo.com/famosos/tudo-sobre/adriana-esteves.html|http://s2.glbimg.com/VFPbMsUBo9yJzghIBgob_fT4_5A=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/09/06/adriana-esteves-tvglobo.jpg|Sagitário|15 de Dezembro (45 anos)|Vladimir Brichta|Atriz brasileira que conseguiu seu primeiro trabalho na TV ao participar de um concurso no ‘Domingão do Faustão’. Obteve grande destaque em novelas. Casou-se com o ator Marco Ricca, com quem tem um filho, Felipe, e posteriormente com o ator Vladimir Brichta, com quem teve Vicente. Seu maior sucesso na TV foi com a personagem Carminha, de &quot;Avenida Brasil&quot;.
Adriana Lima|Adriana Francesca Lima|http://ego.globo.com/famosos/tudo-sobre/adriana-lima.html|http://s2.glbimg.com/TnI-gMWr3v1dn1JZE84aJxc95GM=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/09/06/adriana-lima-.jpg|Gêmeos|12 de Junho (33 anos)|NULL|Modelo baiana que fez fama e fortuna em Nova York. Chegou a ser uma das mais bem pagas. Em 2008 foi considerada a top mais sexy do mundo. Tem duas filhas, Valentina e Sienna, frutos de seu casamento com um jogador de basquete sérvio Marko Jaric, de quem se separou em 2014.
Adriana Prado|Adriana Prado|http://ego.globo.com/famosos/tudo-sobre/adriana-prado.html|http://s2.glbimg.com/_G327GuZ00RFPv6QJ4_YOpgx3co=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2014/10/27/adriana-prado.jpg|Sagitário|19 de Dezembro (45 anos)|NULL|NULL
Adriana Sant&#39;Anna|Adriana Sant&#39;Anna|http://ego.globo.com/famosos/tudo-sobre/adriana.html|http://s2.glbimg.com/1wgEFzHATCwzjDwrVyxVSujapLI=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/09/02/adriana-isac_luz.jpg|Aquário|06 de Fevereiro (24 anos)|Rodrigão|Modelo do interior do Rio, ganhou fama nacional ao participar do Big Brother Brasil 11. No programa, envolveu-se com o participante Rodrigão, com quem engatou um namoro. Posou nua para a revista &#39;Playboy&#39;
Adriane Galisteu|Adriane Galisteu|http://ego.globo.com/famosos/tudo-sobre/adriane-galisteu.html|http://s2.glbimg.com/VNKqNWVujcAQMBWxzGEMEoHlxAI=/300x170/top/smart/s.glbimg.com/jo/eg/f/original/2011/09/06/adriane-galisteu-iwi__.jpg|Áries|18 de Abril (42 anos)|NULL|Começou a carreira como modelo, e ficou famosa por namorar com o piloto brasileiro Ayrton Senna. Virou apresentadora de TV e atriz. É mãe de Vittorio, fruto de seu casamento com o empresário Alexandre Iódice.
